Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
Valley Pharmacy,NC,Healthcare Provider,5008,04/08/2015,01/13/2015,Hacking/IT Incident,Network Server,Archived,2015,85
Good Samaritan Hospital,CT,Healthcare Provider,832,09/13/2015,04/12/2015,Theft,Network Server,Archived,2015,154
Valley Rehabilitation Center,LA,Healthcare Provider,20419,07/31/2015,04/21/2015,Loss,Email,Archived,2015,101
DataSync Health IT,LA,Business Associate,9950,11/17/2015,10/02/2015,Unauthorized Access/Disclosure,Paper/Films,Archived,2015,46
Providence Family Practice,NY,Healthcare Provider,5021,12/26/2015,10/23/2015,Other,Desktop Computer,Archived,2015,64
Kaiser Foundation,NJ,Health Plan,5659,02/14/2016,08/21/2015,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2015,177
Mercy Medical Group,KS,Healthcare Provider,500,07/26/2015,02/06/2015,Unauthorized Access/Disclosure,Network Server,Archived,2015,170
Anthem Blue Cross,CO,Health Plan,776,04/12/2015,01/29/2015,Hacking/IT Incident,Network Server,Archived,2015,73
Lakeside Health Plan,IN,Healthcare Provider,3334,01/17/2016,07/22/2015,Theft,Email,Archived,2015,179
Legacy Urgent Care,NC,Healthcare Provider,500,02/20/2016,10/26/2015,Hacking/IT Incident,Network Server,Archived,2015,117
Integrated Eye Care,LA,Healthcare Provider,6532,04/16/2016,12/15/2015,Unauthorized Access/Disclosure,Other,Archived,2015,123
Aetna Health Plan,MN,Health Plan,30505,12/24/2015,10/02/2015,Hacking/IT Incident,Network Server,Archived,2015,83
Legacy Physicians Group,NH,Healthcare Provider,9048,08/18/2015,02/24/2015,Hacking/IT Incident,Paper/Films,Archived,2015,175
Regional Healthcare,NV,Healthcare Provider,3761,10/14/2015,09/29/2015,Improper Disposal,Desktop Computer,Archived,2015,15
DataSync Health IT,IL,Business Associate,500,04/16/2015,01/30/2015,Theft,Paper/Films,Archived,2015,76
American Physicians Group,ID,Healthcare Provider,6015,12/05/2015,10/09/2015,Improper Disposal,Paper/Films,Archived,2015,57
Liberty Healthcare,MS,Healthcare Provider,6671,11/11/2015,07/24/2015,Hacking/IT Incident,Network Server,Archived,2015,110
